source_file,TIME,DEPTH,TIME_QC,STATION,LATITUDE,LONGITUDE,DEPH,HCSP,HCSP_QC,TEMP,TEMP_QC,VHM0,VHM0_QC,VTM10,VTM10_QC,VZMX,VZMX_QC
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.21000001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 16:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.29200003,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.19500001,1.0,3.2220001,1.0,0.0,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.859001,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.257,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.187,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.328,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.316,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 17:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.164,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.273,1.0,3.1250002,1.0,0.312,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.703001,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.363,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.39800003,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.41000003,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.33900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.363,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.328,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.363,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.37500003,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.33900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.30400002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.316,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.316,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.19900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.257,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.257,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.187,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.257,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.19900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 18:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.39000002,1.0,3.3200002,1.0,0.507,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.625002,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 19:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.17500001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.351,1.0,3.1250002,1.0,0.39000002,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.468,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.19900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 20:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.351,1.0,2.832,1.0,0.351,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.390001,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.23400001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.26900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.26900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.28100002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.246,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.23400001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.22200002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.246,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.22200002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.246,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.19900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.187,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 21:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.42900002,1.0,2.6360002,1.0,0.625,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.312,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.21000001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.19900002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.14,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.128,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.117000006,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 22:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.058000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,0,1.0,b'6101629',45.6016,13.5354,0.0,,,,,0.351,1.0,2.539,1.0,0.39000002,1.0
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,1,1.0,b'6101629',45.6016,13.5354,0.5,,,25.156002,4.0,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,2,1.0,b'6101629',45.6016,13.5354,2.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,3,1.0,b'6101629',45.6016,13.5354,3.0,0.07,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,4,1.0,b'6101629',45.6016,13.5354,4.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,5,1.0,b'6101629',45.6016,13.5354,5.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,6,1.0,b'6101629',45.6016,13.5354,6.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,7,1.0,b'6101629',45.6016,13.5354,7.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,8,1.0,b'6101629',45.6016,13.5354,8.0,0.011000001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,9,1.0,b'6101629',45.6016,13.5354,9.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,10,1.0,b'6101629',45.6016,13.5354,10.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,11,1.0,b'6101629',45.6016,13.5354,11.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,12,1.0,b'6101629',45.6016,13.5354,12.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,13,1.0,b'6101629',45.6016,13.5354,13.0,0.011000001,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,14,1.0,b'6101629',45.6016,13.5354,14.0,0.093,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,15,1.0,b'6101629',45.6016,13.5354,15.0,0.035,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,16,1.0,b'6101629',45.6016,13.5354,16.0,0.105000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,17,1.0,b'6101629',45.6016,13.5354,17.0,0.046000004,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,18,1.0,b'6101629',45.6016,13.5354,18.0,0.023000002,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,19,1.0,b'6101629',45.6016,13.5354,19.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,20,1.0,b'6101629',45.6016,13.5354,20.0,0.082,0.0,,,,,,,,
MO_TS_MO_6101629_20250820.nc,2025-08-20 23:00:00,21,1.0,b'6101629',45.6016,13.5354,21.0,0.046000004,0.0,,,,,,,,
